id,status,rating,email,img,nickname,review,date,productId,handle,variant,verified_purchase,orderId,reply,replied_at,metaobject_handle,incentivized
kL5NDAgYTwM,Active,4,ling.z.31@outlook.com,,Ling Z.,works as expected,2024-11-29T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-kL5NDAgYTwM,
5Fefnab8quu,Active,4,tariq.v.37@outlook.com,,Tariq V.,good!,2024-11-28T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-5Fefnab8quu,
Uv_Rgu5q7F,Active,5,noah.h.84@yahoo.com,,Noah H.,as expected,2024-11-27T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-Uv_Rgu5q7F,
jxrKt_bEgA9,Active,4,jun.k.69@hotmail.com,,Jun K.,my account hade even more than 10k followers,2024-11-27T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-jxrKt_bEgA9,
LpVBpnfHBYi,Active,5,ava.q.14@hotmail.com,,Ava Q.,got my youtube account today & it's already making 💰. the course was solid too 🤝,2024-11-26T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-LpVBpnfHBYi,
zCvIS2WHvRM,Active,5,james.c.28@yahoo.com,,James C.,the course that is included is so key!,2024-11-26T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-zCvIS2WHvRM,
oW_5Y6M0A8k,Active,5,ethan.k.44@hotmail.com,,Ethan K.,"already making money with shorts, money glitch",2024-11-24T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-oW_5Y6M0A8k,
Kwzh1Ud183U,Active,5,olivia.o.79@hotmail.com,,Olivia O.,growing like crazy rn,2024-11-22T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-Kwzh1Ud183U,
ebFYr4_c1Da,Active,5,zara.u.30@yahoo.com,,Zara U.,can not believe people are working normal jobs,2024-11-22T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-ebFYr4_c1Da,
BobluJSv7_q,Active,4,priya.z.84@outlook.com,,Priya Z.,so happy I was able to pickup this account on the sale,2024-11-21T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-BobluJSv7_q,
vh1gnBqp3cT,Active,5,mia.w.18@yahoo.com,,Mia W.,came with 10k followers,2024-11-20T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-vh1gnBqp3cT,
Yx_2UMf2VxC,Active,5,ethan.e.36@gmail.com,,Ethan E.,selling to kids is too easy,2024-11-20T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-Yx_2UMf2VxC,
4kRJ6VomMx1,Active,4,sophia.j.46@yahoo.com,,Sophia J.,"the course included was fire, thank you so much, almost too much value for the price",2024-11-20T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-4kRJ6VomMx1,
hzRYmc-PWV,Active,4,ibrahim.b.70@yahoo.com,,Ibrahim B.,"My account had even more than 10k followers, really wanted to grow it as much myself as possible but haha I should not complain",2024-11-20T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-hzRYmc-PWV,
Eiu2iZH2epC,Active,4,kiran.j.61@outlook.com,,Kiran J.,can not believe it works outside the US its amazing,2024-11-19T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-Eiu2iZH2epC,
WJ183JGQa7o,Active,4,ibrahim.v.32@outlook.com,,Ibrahim V.,"made back the money I invested in just 2 weeks, THANK YOU",2024-11-18T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-WJ183JGQa7o,
2fY27N-g1Lj,Active,4,charlotte.g.63@outlook.com,,Charlotte G.,"legit have received 20+ free samples by using this account, crazy method for free stuff",2024-11-17T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-2fY27N-g1Lj,
pcUSYmy3PJ,Active,5,zara.q.43@yahoo.com,,Zara Q.,worth every penny 💯,2024-11-15T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-pcUSYmy3PJ,
VaGXb0AtXG8,Active,4,mei.w.47@outlook.com,,Mei W.,"the real key to making money on youtube is rain videos, im telling you",2024-11-14T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-VaGXb0AtXG8,
ih7Mg8e_--z,Active,5,ethan.k.86@outlook.com,,Ethan K.,tysm,2024-11-13T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-ih7Mg8e_--z,
TEGwOtk28Yz,Active,5,mia.q.38@outlook.com,,Mia Q.,good rpm actually,2024-11-13T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-TEGwOtk28Yz,
Q--KAyU9ODX,Active,4,sofia.v.62@hotmail.com,,Sofia V.,"once my first account made 1000$ I bought another one, compound baby",2024-11-13T00:00:00.000Z,9033053962580,monetized-tiktok-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-Q--KAyU9ODX,
57FsCCM5XV,Active,4,jun.q.61@outlook.com,,Jun Q.,as described,2024-11-13T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-57FsCCM5XV,
VN-bgGat2ox,Active,4,mason.x.48@outlook.com,,Mason X.,buy 3 accounts and the compund is crazy,2024-11-11T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-VN-bgGat2ox,
l_BOxzTZBGD,Active,5,yuki.o.63@gmail.com,,Yuki O.,crazy value,2024-11-10T00:00:00.000Z,9658540425556,youtube,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-l_BOxzTZBGD,
6LxzDTXlxbB,Active,4,leila.t.50@outlook.com,,Leila T.,"Making average belgian wage from selling to kids, thanks",2024-11-09T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-6LxzDTXlxbB,
UPqnZss6KXh,Active,5,elijah.f.55@hotmail.com,,Elijah F.,my account's already earning,2024-11-08T00:00:00.000Z,9636190388564,tiktok-shop-affiliate-account,,true,,,,252ae7c55fa0e8a35df7f6ff3c8c1596-UPqnZss6KXh,
